模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Daylight_MAE,Daylight_WAPE_percent,Overforecast_rate_percent
XGBoost,负载,4,82.02755695321542,102.59457895677234,1.867264574457434,-5.473297588342744,0.9943840090079201,0.30272147467456606,300.32320791883444,103.530138326823,,,
XGBoost,负载,5,104.96111820659021,138.2429394730055,2.3845949716727355,-1.1812388281600024,0.9895258552797982,0.6428621815995089,618.9315525873657,83.36263425529238,,,
XGBoost,负载,6,132.29382278361004,178.69651803793678,2.7559514614252354,5.261837950349034,0.9820376015142032,1.0301006575457934,1054.30719758138,186.3894576367187,,,
XGBoost,负载,7,167.5083206300578,229.46731471666624,3.138388119964159,2.441160904685401,0.9701843105470519,1.6531337810228686,1921.188799542169,235.04295783770155,,,
XGBoost,负载,8,125.22829984480882,156.91050948010147,2.4821448665339934,14.751545598337048,0.9861920549149918,0.5178737622970329,566.1430685935404,142.94857526461706,,,
XGBoost,负载,9,141.7234464296694,204.35278613547223,3.124452113032948,1.8736188229709148,0.9768746409250094,1.7512890461454058,1725.8074663281266,178.99751992187495,,,
XGBoost,负载,10,95.48142430734943,127.39884609186997,2.1964276669988245,-4.533024670060133,0.9913841093434009,0.7464912455517093,756.2775059570338,122.59806762222776,,,
XGBoost,负载,11,82.95944366721824,103.75578320675491,1.9125887679501241,-5.660993102982128,0.9943327196938048,0.281964336866465,282.32957931966325,99.9212839518229,,,
XGBoost,负载,12,117.24344755119954,158.93955463600903,2.499189192580212,-18.40462492680156,0.9876954887779443,1.2222282440948962,1303.8836988879793,156.85018557207655,,,
XGBoost,光伏,2,109.57253093439085,223.77949593385142,5.5720125106235505,-15.197221630571667,0.9928924949751428,3.0667830709706743,1444.0035242495344,405.61084388950894,222.90945342983272,5.44565204572592,46.92823954568921
XGBoost,光伏,3,166.94967431177872,336.3604439915301,7.245460870946728,-12.68605587292726,0.9868282971227772,5.023996030346185,2739.209361487644,644.8306211189515,315.5170331571462,7.128803281455208,49.526678141135974
XGBoost,光伏,4,183.00381029073097,359.7281371096003,6.773689886043053,-9.004837719968158,0.9875946284005966,4.286928046520557,2755.6109125398602,664.0944360156251,321.19097623938063,6.670808287040971,51.278877887788774
XGBoost,光伏,5,189.09877395059547,349.0975983144582,6.737880366075593,4.695261990094553,0.9881139649659341,3.785617618630751,2529.3152307041514,687.2750083165323,315.1379716290587,6.643256594133354,53.8053767512306
XGBoost,光伏,6,202.90688522147983,399.85230132095825,8.562098517775468,10.631784121301532,0.9774171094755576,5.023416737407185,2849.6310353205977,625.1358361328125,323.6848275913942,8.451267426732745,54.80733258511036
XGBoost,光伏,7,187.64524519932925,347.92881047806185,6.890478311994178,-23.322192824966518,0.9873536932178838,3.632997219413889,2366.6746438829236,641.0571471018142,308.583656885841,6.790248311378989,51.32710280373832
XGBoost,光伏,8,183.09614803598092,338.87592556687486,6.279032295249416,-0.7780634707553361,0.9902174696634056,3.6015158444630337,2498.9335180293183,605.3414341733869,313.7007680711156,6.176673952257246,56.262192742879435
XGBoost,光伏,9,155.61418223545118,302.0044451112647,5.9677178904252255,25.148388835977883,0.9913616961095348,3.3409528941008784,2074.4684124174805,450.9539765624999,284.65243692817904,5.84729448340418,61.10630942091616
