模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent
LightGBM,负载,12,129.9814102310652,170.90786953161216,2.7706871627488567,-10.476669922888174,,
LightGBM,光伏,2,110.19856220078529,223.19282039953833,5.603847624941389,-10.106969900868322,229.55600303493043,5.4690449061573405
LightGBM,光伏,3,165.07087577881768,331.2581127810978,7.163922758871472,-4.49053833283379,320.2279166528872,7.042209173971583
LightGBM,光伏,4,183.03559292168052,359.23732203714627,6.77486628606157,-7.646598708245138,330.3674247199923,6.6774002121206255
LightGBM,光伏,5,191.8787144080015,352.44215879560585,6.83693392330124,9.120442763118719,325.82435321499133,6.7436824894335725
LightGBM,光伏,6,207.3240221175203,402.66948867979227,8.748489241920277,8.600948844301497,341.494796047843,8.626072108908946
LightGBM,光伏,7,192.87282160223035,357.6749123091616,7.082438954483249,-20.416037619254723,323.39739568890496,6.967231639960897
LightGBM,光伏,8,183.98544765832233,339.7207411890585,6.309529611051699,1.6526627453755562,322.40122037157636,6.201846107606853
LightGBM,光伏,9,158.17097225133116,307.5004138757356,6.0657693745550025,26.917722691984217,296.3559249184292,5.935110245858113
LightGBM,光伏,10,133.52400262671895,278.34844945168874,5.647475596633654,21.356109816641812,269.35791377828144,5.497270689289007
LightGBM,光伏,11,100.75885905653773,202.59739692122596,5.433571229425535,48.898816607875574,216.1871749498649,5.232716712309246
LightGBM,光伏,12,79.50811180939378,162.83232047694526,5.252092350627593,21.56163688585991,176.8228728971211,5.000319584238682
SARIMA,负载,2,392.45081251620707,571.0401080807671,8.688505709972922,202.0838263084515,,
SARIMA,负载,3,393.1771297665337,575.9603311719669,9.026728664700375,218.8561332987749,,
SARIMA,负载,4,350.66343338604986,502.6723748049236,7.982364793317563,141.9129921043707,,
SARIMA,负载,5,414.2005488564556,532.2215231173842,9.410060711588827,111.105379700495,,
SARIMA,负载,6,464.61662468570023,535.7526210567692,9.678761641041001,-121.21461747897362,,
SARIMA,负载,7,573.433541898038,632.9279165986027,10.743971369005962,-383.428097097489,,
SARIMA,负载,8,411.49815998824647,463.72954402349666,8.156267974001818,-80.35277637658949,,
