日期,时段序号,开始时刻,结束时刻,时间区间,时长_h,区间平均电价,预测负载功率,预测光伏功率,预测净负荷功率
2025-07-18,116,19:10,19:20,19:10—19:20,0.166667,1.348400,4408.206787,1.349055,4406.857732
2025-07-18,117,19:20,19:30,19:20—19:30,0.166667,1.346400,4371.243896,1.349055,4369.894841
2025-07-18,118,19:30,19:40,19:30—19:40,0.166667,1.348650,4379.212158,0.000000,4379.212158
2025-07-18,119,19:40,19:50,19:40—19:50,0.166667,1.348150,4435.251709,0.096862,4435.154847
2025-07-18,120,19:50,20:00,19:50—20:00,0.166667,1.347750,4553.107178,0.096862,4553.010315
2025-07-18,121,20:00,20:10,20:00—20:10,0.166667,1.349750,4580.899902,0.000000,4580.899902
2025-07-18,122,20:10,20:20,20:10—20:20,0.166667,1.345650,4408.474121,0.006950,4408.467171
2025-07-18,123,20:20,20:30,20:20—20:30,0.166667,1.344450,4341.305176,0.006950,4341.298226
2025-07-18,124,20:30,20:40,20:30—20:40,0.166667,1.372050,4375.388184,0.000000,4375.388184
2025-07-18,125,20:40,20:50,20:40—20:50,0.166667,1.308900,4417.719482,0.000356,4417.719126
2025-07-18,126,20:50,21:00,20:50—21:00,0.166667,1.077900,4544.069824,0.000356,4544.069468
2025-07-18,127,21:00,21:10,21:00—21:10,0.166667,0.920000,4546.281006,0.000000,4546.281006
2025-07-18,128,21:10,21:20,21:10—21:20,0.166667,0.921950,4450.684814,0.000000,4450.684814
2025-07-18,129,21:20,21:30,21:20—21:30,0.166667,0.937100,4427.501709,0.000000,4427.501709
2025-07-18,130,21:30,21:40,21:30—21:40,0.166667,0.962100,4500.656006,0.000000,4500.656006
2025-07-18,131,21:40,21:50,21:40—21:50,0.166667,0.881750,4453.450439,0.000000,4453.450439
2025-07-18,132,21:50,22:00,21:50—22:00,0.166667,0.598650,4211.964844,0.000000,4211.964844
2025-07-18,133,22:00,22:10,22:00—22:10,0.166667,0.403400,4090.422241,0.000000,4090.422241
2025-07-18,134,22:10,22:20,22:10—22:20,0.166667,0.411350,4139.081421,0.000000,4139.081421
2025-07-18,135,22:20,22:30,22:20—22:30,0.166667,0.428300,4192.103271,0.000000,4192.103271
2025-07-18,136,22:30,22:40,22:30—22:40,0.166667,0.419200,4179.532959,0.000000,4179.532959
2025-07-18,137,22:40,22:50,22:40—22:50,0.166667,0.421350,4189.836182,0.000000,4189.836182
2025-07-18,138,22:50,23:00,22:50—23:00,0.166667,0.423900,4224.463379,0.000000,4224.463379
2025-07-18,139,23:00,23:10,23:00—23:10,0.166667,0.424250,4190.259277,0.000000,4190.259277
2025-07-18,140,23:10,23:20,23:10—23:20,0.166667,0.424400,4122.424561,0.000000,4122.424561
2025-07-18,141,23:20,23:30,23:20—23:30,0.166667,0.423000,4149.160400,0.000000,4149.160400
2025-07-18,142,23:30,23:40,23:30—23:40,0.166667,0.423000,4173.677002,0.000000,4173.677002
2025-07-18,143,23:40,23:50,23:40—23:50,0.166667,0.425550,4168.858154,0.000000,4168.858154
2025-07-18,144,23:50,次日00:00,23:50—次日00:00,0.166667,0.427350,4165.059570,0.000000,4165.059570
2025-07-19,1,00:00,00:10,00:00—00:10,0.166667,0.426200,3551.797642,0.000000,3551.797642
2025-07-19,2,00:10,00:20,00:10—00:20,0.166667,0.424650,3688.695557,0.000000,3688.695557
2025-07-19,3,00:20,00:30,00:20—00:30,0.166667,0.425700,3795.521851,0.000000,3795.521851
2025-07-19,4,00:30,00:40,00:30—00:40,0.166667,0.427050,3774.090942,0.000000,3774.090942
2025-07-19,5,00:40,00:50,00:40—00:50,0.166667,0.427150,3677.689575,0.000000,3677.689575
2025-07-19,6,00:50,01:00,00:50—01:00,0.166667,0.427800,3672.281006,0.000000,3672.281006
2025-07-19,7,01:00,01:10,01:00—01:10,0.166667,0.429800,3634.461182,0.000000,3634.461182
2025-07-19,8,01:10,01:20,01:10—01:20,0.166667,0.430650,3622.043335,0.000000,3622.043335
2025-07-19,9,01:20,01:30,01:20—01:30,0.166667,0.429050,3650.232544,0.000000,3650.232544
2025-07-19,10,01:30,01:40,01:30—01:40,0.166667,0.429550,3573.783081,0.000000,3573.783081
2025-07-19,11,01:40,01:50,01:40—01:50,0.166667,0.432250,3490.628540,0.000000,3490.628540
2025-07-19,12,01:50,02:00,01:50—02:00,0.166667,0.432200,3521.968262,0.000000,3521.968262
2025-07-19,13,02:00,02:10,02:00—02:10,0.166667,0.430200,3605.053833,0.000000,3605.053833
2025-07-19,14,02:10,02:20,02:10—02:20,0.166667,0.430850,3636.774536,0.000000,3636.774536
2025-07-19,15,02:20,02:30,02:20—02:30,0.166667,0.434550,3637.283813,0.000000,3637.283813
2025-07-19,16,02:30,02:40,02:30—02:40,0.166667,0.435750,3546.003540,0.000000,3546.003540
2025-07-19,17,02:40,02:50,02:40—02:50,0.166667,0.434150,3389.519531,0.000000,3389.519531
2025-07-19,18,02:50,03:00,02:50—03:00,0.166667,0.434600,3417.333008,0.000000,3417.333008
2025-07-19,19,03:00,03:10,03:00—03:10,0.166667,0.436550,3534.223511,0.000235,3534.223275
2025-07-19,20,03:10,03:20,03:10—03:20,0.166667,0.437250,3503.125244,0.000235,3503.125009
2025-07-19,21,03:20,03:30,03:20—03:30,0.166667,0.436350,3320.441162,0.000000,3320.441162
2025-07-19,22,03:30,03:40,03:30—03:40,0.166667,0.435450,3176.144897,0.007152,3176.137745
2025-07-19,23,03:40,03:50,03:40—03:50,0.166667,0.435650,3159.521118,0.007152,3159.513966
2025-07-19,24,03:50,04:00,03:50—04:00,0.166667,0.436900,3196.871704,0.000000,3196.871704
2025-07-19,25,04:00,04:10,04:00—04:10,0.166667,0.438950,3280.801147,0.099589,3280.701558
2025-07-19,26,04:10,04:20,04:10—04:20,0.166667,0.439500,3394.357666,0.099589,3394.258077
