模型,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Overforecast_rate_percent
SARIMA,8,180.44500570604603,339.1078357601903,6.188114990393321,-41.89521587338307,321.5065300678586,6.184635466867868,0.9902135527653407,3.527034274607875,2468.74771364241,565.4868492581694,48.20287539936102
SARIMA,9,155.1878365624513,298.395240300829,5.951367769480483,31.068267070009252,296.84699996364395,5.944944989446053,0.9915752737522444,3.1914171752056513,1976.675298480273,450.2288554265214,62.943262411347526
SARIMA,10,138.10294299393541,283.13901162208674,5.841144551080657,38.1787888072362,285.8774924579102,5.834415399095745,0.9918830521015144,4.002885681889371,2268.0184202673054,423.33236031337253,67.59517177344475
SARIMA,11,112.87997580060261,228.37545991253538,6.087220465093271,85.58829164699424,251.3442478475119,6.083678398403968,0.9922355916894998,4.767816771535107,2062.0223346454854,317.94374937725684,81.07271789582259
SARIMA,12,89.12761051068435,189.66759650149294,5.887530602098571,60.09752402881899,208.14051303135895,5.88594148783981,0.9923482469142266,4.196936266944485,1507.864813869719,241.1757167318207,74.9869178440607
日总量+归一化曲线,2,126.65867864714285,252.6067109412458,6.440881998276636,-79.95243711557536,270.3122432571058,6.4400398051550205,0.9909531841757139,4.5744947878242535,2220.3098000000005,448.4478989539813,23.66331392271043
日总量+归一化曲线,3,171.61177803232098,329.68769969252753,7.447791844174034,-78.46478168682792,338.6382483218156,7.447075207919901,0.9873588473005416,5.555557764046705,3072.078179301075,638.1367407584262,26.25994694960212
日总量+归一化曲线,4,196.2833549017638,375.2556275666866,7.265217996196105,-103.59929609953701,359.4231054980907,7.264674847794603,0.9865138602587759,5.270458135022653,3472.026865277778,745.4501554538112,26.536668079694785
日总量+归一化曲线,5,183.764209427261,335.9424015185049,6.547801621446981,-30.28218345654117,316.3472037360287,6.547531138681549,0.9890038160279885,3.556161831995288,2400.7320373655934,586.1370313407484,39.06671808715773
日总量+归一化曲线,6,198.8616834113628,390.6426896863877,8.391402405690853,20.07092457175928,332.2037600766304,8.391382892025774,0.9784704460566607,5.22730023838415,2957.8913958333337,557.7502189450337,50.65738592420727
日总量+归一化曲线,7,182.51791341040067,339.6593367338231,6.70219872914367,-23.50528306451607,311.045602090604,6.701126197197427,0.9879597487800718,3.8401336360837437,2503.770153225807,559.1006672641092,50.171821305841924
日总量+归一化曲线,8,185.8727913327954,349.01103321343965,6.374253484335599,-35.60544317876338,331.2014402488415,6.371130855750792,0.9896336057553605,3.8241253954771417,2680.7889825268817,534.3360204182935,48.402555910543136
日总量+归一化曲线,9,164.13793513474204,312.4302150337948,6.294599103563611,51.76611891203711,314.02069628515557,6.2888820341503715,0.9907641244900225,3.6679211001302647,2256.3593955555557,454.8262655604225,67.15425531914893
日总量+归一化曲线,10,135.31949159739193,278.43983339923636,5.72341685023918,6.659030443548449,280.1538692971477,5.717603142136794,0.9921502456642094,3.7362730982185552,2145.668980107527,448.84446072394525,60.6313834726091
日总量+归一化曲线,11,94.60597551100366,195.56916428422113,5.101767839390519,37.18733265625006,210.64799995211402,5.098643386313574,0.9943060944915281,2.587007968143316,1119.7895515277778,345.54773069311346,66.3744198040227
日总量+归一化曲线,12,92.37308893068113,194.03490524833902,6.101918190935489,64.36255038642479,215.7280386371162,6.10050678847518,0.9919918095758171,4.432567333030061,1599.7050125000017,244.64638419979414,75.71951857666144
晴空包络短期外推,2,110.74130577396203,227.5790589894719,5.631447370552924,1.3961362631012575,236.32315738906507,5.630268618717055,0.9926570499264599,3.331926366632558,1568.671714747557,366.4503703352971,50.34409740603494
晴空包络短期外推,3,163.65218647076566,330.03058109016945,7.102352959997081,1.0267484661879152,322.91762127806015,7.101359115627664,0.9873325395550813,4.8968488662346825,2605.8634565367715,533.0566119112822,45.57913351016799
晴空包络短期外推,4,182.4878751905294,358.1862360732748,6.75459310131197,7.929561645554306,334.15068078664274,6.753867542043876,0.9877128541267657,3.5798175397223657,2272.542364456363,616.6128519726132,49.59728698601103
晴空包络短期外推,5,189.26831442816578,350.71545627635373,6.743921354238605,2.3839544295043673,325.8188011435063,6.74356757657674,0.9880154380641814,3.497619470643546,2341.5950739567716,531.7720439337255,50.71345931353645
晴空包络短期外推,6,235.4364496709493,452.0507769803391,9.934754429637051,-18.702602265830883,393.2973622886701,9.93459181987199,0.9711696397546941,7.295067777827143,4183.804370395352,630.1449871037987,46.21036349574633
晴空包络短期外推,7,198.44622144538894,376.6674565191411,7.287098500759315,53.55721275480371,338.19987556066224,7.286134350641969,0.9851930833027654,4.457474331752218,2884.5063882898767,557.5705144491994,57.69377625047728
晴空包络短期外推,8,197.2784179572916,375.7881696213311,6.765393869815989,0.2852466458820619,351.5664122679921,6.762880062850342,0.9879819054594308,4.4087566869063854,3078.1417951168996,481.68945311294686,53.27476038338658
晴空包络短期外推,9,154.62093968749772,307.0563721697019,5.929627587614747,3.800440767631458,295.87994623474395,5.925577836600131,0.9910791087743253,3.159367862936132,1979.0529487587266,430.18103971852196,54.43262411347518
晴空包络短期外推,10,155.97198385729473,327.475749139304,6.596926060216436,11.127246232561356,323.02918190990226,6.5926366468668975,0.9891419553420656,4.920425435458365,2827.0174362266957,541.2539616000444,58.495821727019504
晴空包络短期外推,11,99.98697604979647,210.59782733079612,5.391946291060975,-10.92177721948369,222.6801187421323,5.389875597898834,0.9933973653206457,2.4380696571000104,1088.974859103121,345.4389170333925,50.69623517276946
晴空包络短期外推,12,79.67873100887039,173.41391413245404,5.263362996754739,-19.644139888672456,186.0771290660375,5.262017845333656,0.9936034978908752,2.6967225741108276,981.9018807860618,279.74923295602565,40.868655154369435
自适应加权Baseline,2,116.64925319202295,231.49831957806884,5.931879939234328,-64.39746463503305,248.94553612301775,5.930989816184535,0.9924019584108879,3.8986205498205235,1880.8981155494778,409.23561957764053,25.99258867125463
自适应加权Baseline,3,156.521008229712,311.18988743753783,6.792866444840365,-37.10733052144705,308.86163750332014,6.792250594040006,0.9887375690909306,4.409520886928959,2417.203972783752,527.3187302791534,33.863837312113176
自适应加权Baseline,4,174.8456073937172,335.66071562252415,6.471722750145728,-41.210378710849156,320.1602599852465,6.471092571399967,0.9892096816021603,3.699263021616598,2394.1975838806457,619.0103477151581,35.311572700296736
自适应加权Baseline,5,180.76859383459117,332.326147785734,6.441063227196824,5.7556476748454415,311.18806015352015,6.440750826238545,0.9892392788092746,3.179409226041681,2124.8214076723757,522.1129132006489,44.58156575395295
自适应加权Baseline,6,205.22343002661495,398.0870846402191,8.659850177709322,52.13833817840474,342.8313350559335,8.65983274594818,0.9776420590645434,5.726946335017617,3237.534328232676,551.1380160994207,55.29775715390565
自适应加权Baseline,7,180.01870511768627,337.8883924397291,6.610425870631792,-26.637158138391072,306.78678034612557,6.609374692693579,0.9880849744110591,3.514802420883314,2303.4522305483574,557.7353202941224,49.293623520427644
自适应加权Baseline,8,189.4482300512055,357.5416266871237,6.496868271284424,-22.168247277604653,337.6091943430684,6.494393121141667,0.9891206579330387,3.72651400088016,2601.9802972332163,534.4619719987928,51.397763578274756
自适应加权Baseline,9,154.2602357269793,293.890350015561,5.915794790067566,51.52299004149699,295.0801563354149,5.9095604709026235,0.9918277307424317,3.2434086356622776,1984.3310241058055,387.61074778540666,66.71099290780141
自适应加权Baseline,10,139.71185402473438,288.44379996584297,5.909194381858975,23.905260656432347,289.29304596429665,5.9041227335303725,0.991576050560174,4.1664443806866425,2389.0904979813063,472.2558302366526,64.9025069637883
自适应加权Baseline,11,98.48378271094283,203.61310161696883,5.310884356113139,53.70892697689354,219.29600496454805,5.3079645931205555,0.9938280708088008,3.3340643492912094,1440.212630228147,324.6828889247963,72.61474987106756
自适应加权Baseline,12,75.53478870039946,162.15438187837236,4.989625296230064,18.598034162021804,176.38696954198505,4.987992807460259,0.9944071645243333,2.397689377057475,869.2165698135985,237.71071235842157,59.131344845630565
