24:00基础模型,边界预测方法,评价对象,月份,样本数,MAE,RMSE,WAPE_percent,Bias,MAPE_percent,R2
XGBoost,XGBoost跨日边界,次日00:10端点,6,30,288.6086676432291,389.74948858140584,7.498105769151962,-237.96292972656252,7.194771080936917,0.41524010349935603
XGBoost,XGBoost跨日边界,最后10分钟区间平均,6,30,212.41399175781254,295.92512752857454,5.526866365894737,-123.30147544270838,5.487922517797599,0.6247048434183227
XGBoost,XGBoost跨日边界,次日00:10端点,7,31,307.08492491179436,382.305146851207,7.134037151688882,-178.80387896925404,7.0867796027082,0.3847159142244675
XGBoost,XGBoost跨日边界,最后10分钟区间平均,7,31,235.71438988785286,293.8146191227413,5.44575373654302,-47.0824324911795,5.6420416222114,0.6225652252461997
XGBoost,XGBoost跨日边界,次日00:10端点,8,31,258.4939418346774,328.32876935353715,6.199094993288471,-57.0740408518145,6.555812449281919,0.5487829602175542
XGBoost,XGBoost跨日边界,最后10分钟区间平均,8,31,178.45681753402226,248.172058514647,4.258326104788392,-9.418125674143232,4.494825389136582,0.7552808132300805
XGBoost,XGBoost跨日边界,次日00:10端点,9,30,244.83187226562495,332.62110939587654,7.297062634371378,117.61443497395832,7.901738457365805,0.5777947770375025
XGBoost,XGBoost跨日边界,最后10分钟区间平均,9,30,231.96862811197917,292.4969364846124,6.907951747400558,50.49058858072916,7.089848907843431,0.6090435796460586
XGBoost,XGBoost跨日边界,次日00:10端点,10,31,99.33079421622985,127.36971042603273,3.1946085159842035,55.649860824092755,3.5599342596105594,0.9323849203981409
XGBoost,XGBoost跨日边界,最后10分钟区间平均,10,31,80.71750880796365,106.83933167713974,2.584156302748444,26.44254271673391,2.820618306594493,0.9454124768504015
XGBoost,XGBoost跨日边界,次日00:10端点,11,30,96.07268516927087,124.438266346678,3.0385562326721236,24.547958710937458,3.1399619271701327,0.9231783561170405
XGBoost,XGBoost跨日边界,最后10分钟区间平均,11,30,93.0042577473958,112.14022411643421,2.948433410740952,11.039825546874955,3.1372861867551767,0.9362504038115804
XGBoost,XGBoost跨日边界,次日00:10端点,12,30,164.48261667968748,198.1178162121549,4.996941508488222,-80.2829217057292,4.971544478212888,0.8336497992883447
XGBoost,XGBoost跨日边界,最后10分钟区间平均,12,30,131.50568772786457,153.06088178899506,4.018959835612781,-33.68007218098958,4.153200126194327,0.8911186854653184
XGBoost,历史跨日比例,次日00:10端点,2,28,130.37284491592243,165.85553060831677,4.147966763749967,-32.76515884568528,4.223876776149482,0.879865707207166
XGBoost,历史跨日比例,最后10分钟区间平均,2,28,80.90941468455007,117.00038788376659,2.585754291714016,-12.482642201860553,2.665907548711724,0.9306691983448385
XGBoost,历史跨日比例,次日00:10端点,3,31,100.56582849776143,119.84515622428354,3.1617450857387492,-9.360563654689896,3.281171331321163,0.9242641939531604
XGBoost,历史跨日比例,最后10分钟区间平均,3,31,83.68203843972461,98.38843951062594,2.635476307425864,-15.06565890647804,2.7318232116185914,0.9462231680233456
XGBoost,历史跨日比例,次日00:10端点,4,30,95.29694223447196,116.49628992471281,3.0141542403854684,1.158801351698791,3.2444065521758456,0.9392129696068283
XGBoost,历史跨日比例,最后10分钟区间平均,4,30,102.23550874091637,124.38651830279497,3.243945699733512,0.7031278893910591,3.3780092045171024,0.9301615607119098
XGBoost,历史跨日比例,次日00:10端点,5,31,142.6536609482766,218.8273778712996,4.457777533136466,8.284613109860945,4.531786977742825,0.8232785822124014
XGBoost,历史跨日比例,最后10分钟区间平均,5,31,124.51338174397517,199.10575699852922,3.866268776158032,2.605216711180498,3.907800183526526,0.8462868193835962
XGBoost,历史跨日比例,次日00:10端点,6,30,240.72136606553042,328.3035439103256,6.253984949216197,-41.62979128683739,6.518038763254587,0.58508645365106
XGBoost,历史跨日比例,最后10分钟区间平均,6,30,211.4537889897965,302.0391831299933,5.501882548496128,-25.134906222845817,5.71792623965706,0.6090368305116844
XGBoost,历史跨日比例,次日00:10端点,7,31,280.97409322515676,364.78066434144927,6.527443899455895,135.63509573794352,6.928054460155754,0.43983107558141776
XGBoost,历史跨日比例,最后10分钟区间平均,7,31,249.50702773256495,342.0006251998115,5.7644076342340425,110.1370548624193,6.136525002150205,0.4886139116611582
XGBoost,历史跨日比例,次日00:10端点,8,31,169.96119613805666,225.46943938053275,4.075939236930324,42.32191684216562,4.284946665410828,0.7872140325374863
XGBoost,历史跨日比例,最后10分钟区间平均,8,31,156.83307867489378,221.67897132409027,3.7423417174202873,40.279853172846785,3.8931594769745206,0.8047409151008761
XGBoost,历史跨日比例,次日00:10端点,9,30,289.30606172394533,333.6809207854501,8.6225883638735,-22.118050959663638,9.133311339247237,0.5750999946200064
XGBoost,历史跨日比例,最后10分钟区间平均,9,30,256.8999750361527,304.4777621295847,7.650399305726227,-19.375654386081806,7.777555134704377,0.5763600931150583
XGBoost,历史跨日比例,次日00:10端点,10,31,112.07327618683698,143.978786111402,3.6044234353078375,-11.220836242162198,3.8814128057186306,0.9136010914604745
XGBoost,历史跨日比例,最后10分钟区间平均,10,31,94.0112166478055,120.52836811368913,3.0097519313617296,-6.99280581639361,3.1657588259684677,0.9305280295960253
XGBoost,历史跨日比例,次日00:10端点,11,30,128.5076544622817,159.4491353190727,4.064399092462725,-52.25893849120166,4.1332699889472515,0.873869525592945
XGBoost,历史跨日比例,最后10分钟区间平均,11,30,118.10749896672493,136.93616873627448,3.744259719359946,-27.363623054194584,3.895894479573746,0.9049415027628409
XGBoost,历史跨日比例,次日00:10端点,12,30,177.59613810899958,204.91625526993593,5.395327069682128,-21.302077316152115,5.665477935532047,0.822037258956104
XGBoost,历史跨日比例,最后10分钟区间平均,12,30,144.92774074224926,173.9267872750666,4.429152679042532,-4.1896499862010845,4.680478761680184,0.8594088824006495
