规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-11-06,2025-11-07,Baseline,历史跨日比例,2600.29,2374.25,2572.892003903131,2332.5113,2586.5910019515654,2353.38065
2025-11-06,2025-11-07,Baseline,目标时刻上周同期,2600.29,2374.25,2433.8663,2332.5113,2517.0781500000003,2353.38065
2025-11-07,2025-11-08,Baseline,XGBoost跨日边界,2471.51,2630.28,2510.424072265625,2716.9924,2490.9670361328126,2673.6362
2025-11-07,2025-11-08,Baseline,历史跨日比例,2471.51,2630.28,2454.974665355896,2716.9924,2463.242332677948,2673.6362
2025-11-07,2025-11-08,Baseline,目标时刻上周同期,2471.51,2630.28,2342.2452,2716.9924,2406.8776,2673.6362
2025-11-08,2025-11-09,Baseline,XGBoost跨日边界,3406.47,3381.19,3378.251953125,3167.857,3392.3609765624997,3274.5235000000002
2025-11-08,2025-11-09,Baseline,历史跨日比例,3406.47,3381.19,3370.5776757730473,3167.857,3388.5238378865233,3274.5235000000002
2025-11-08,2025-11-09,Baseline,目标时刻上周同期,3406.47,3381.19,3476.668,3167.857,3441.569,3274.5235000000002
2025-11-09,2025-11-10,Baseline,XGBoost跨日边界,3256.76,3501.71,3502.76220703125,3397.8294,3379.761103515625,3449.7697
2025-11-09,2025-11-10,Baseline,历史跨日比例,3256.76,3501.71,3234.9710465037433,3397.8294,3245.8655232518718,3449.7697
2025-11-09,2025-11-10,Baseline,目标时刻上周同期,3256.76,3501.71,3402.7052,3397.8294,3329.7326000000003,3449.7697
2025-11-10,2025-11-11,Baseline,XGBoost跨日边界,3477.43,3299.55,3503.47998046875,3457.6302,3490.454990234375,3378.5901000000003
2025-11-10,2025-11-11,Baseline,历史跨日比例,3477.43,3299.55,3454.1646809232216,3457.6302,3465.7973404616105,3378.5901000000003
2025-11-10,2025-11-11,Baseline,目标时刻上周同期,3477.43,3299.55,3563.3362,3457.6302,3520.3831,3378.5901000000003
2025-11-11,2025-11-12,Baseline,XGBoost跨日边界,3457.44,3580.04,3369.16650390625,3381.7557,3413.3032519531253,3480.8978500000003
2025-11-11,2025-11-12,Baseline,历史跨日比例,3457.44,3580.04,3421.010629573948,3381.7557,3439.225314786974,3480.8978500000003
